Date,Close,High,Low,Open,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL
2005-01-03,0.9490668177604675,0.9763585868465924,0.9387193722884624,0.9714099522075647,691992000
2005-01-04,0.9588142037391663,0.9817569838600538,0.9442681097494818,0.9565645229238567,1096810400
2005-01-05,0.9672108292579651,0.9784576216223405,0.9604625936699768,0.9666103943577744,680433600
2005-01-06,0.9679611325263977,0.9733590425652388,0.9496663798978165,0.9697599353432059,705555200
2005-01-07,1.0384398698806763,1.0441383994764821,0.970960169827456,0.9747088362793513,2227450400
2005-01-10,1.0340914726257324,1.0601833754328145,1.0178960393632308,1.0471369735527112,1725309600
2005-01-11,0.9681107401847839,1.0369399600078721,0.961812676970378,1.0234443819787578,2611627200
2005-01-12,0.9816071391105652,0.9882050189869714,0.9492163730208144,0.9814568801520848,1919702400
2005-01-13,1.0466877222061157,1.11596701483918,1.0456381117919065,1.1053198508864013,3164716800
2005-01-14,1.052685260772705,1.075478574361229,1.037540338599356,1.0534351541026932,1770742400
2005-01-18,1.0594335794448853,1.0601834728311803,1.0159462699240422,1.0474368869587538,1006460000
2005-01-19,1.0478869676589966,1.071579634574012,1.0459379055452405,1.0570343456132183,751895200
2005-01-20,1.0565840005874634,1.06873094900906,1.0417388981964144,1.0444378530129619,914922400
2005-01-21,1.0570341348648071,1.0736788417011565,1.0496863623621575,1.0693306421585804,911332800
2005-01-24,1.0610829591751099,1.0763789442504021,1.0579339271032668,1.0643823503457834,841629600
2005-01-25,1.0804270505905151,1.0922733813635201,1.0637823442074572,1.0702299643499957,969231200
2005-01-26,1.083426594734192,1.0909238249311877,1.0679810572132635,1.0895743975740848,739496800
2005-01-27,1.0892752408981323,1.093473984663447,1.0729303421778338,1.0820769225152682,496227200
2005-01-28,1.1093682050704956,1.1093682050704956,1.0862750768392293,1.0889748326783923,801612000
2005-01-31,1.1531554460525513,1.1680013531199516,1.1173166283475109,1.1183663389482361,1681097600
2005-02-01,1.1626023054122925,1.1662014122524649,1.1483567376184856,1.155404792473134,678395200
2005-02-02,1.1940932273864746,1.1982919695739627,1.1650017491689098,1.1689006741556367,1020062400
2005-02-03,1.1668009757995605,1.1910940695723145,1.1596034632965018,1.186145435612507,731651200
2005-02-04,1.1822474002838135,1.18359692874989,1.1626032070479944,1.167702104193578,563556000
